Date,puck1,puck2,msgs1,msgs2
11:10:25 AM,12,14,,
11:10:26 AM,12,14,,
11:10:27 AM,12,2,,
11:10:28 AM,12,2,,
11:10:29 AM,12,2,,
11:10:30 AM,12,2,,
11:10:31 AM,12,2,,
11:10:32 AM,12,2,,
11:10:33 AM,12,2,,
11:10:34 AM,12,2,,
11:10:35 AM,12,2,,
11:10:36 AM,12,2,,
11:10:37 AM,12,2,,
11:10:38 AM,12,2,,
11:10:39 AM,12,2,,
11:10:40 AM,12,2,,
11:10:41 AM,12,2,,
11:10:42 AM,12,2,,
11:10:43 AM,12,2,,
11:10:44 AM,12,2,,
11:10:45 AM,12,2,,
11:10:46 AM,12,2,,
11:10:47 AM,12,2,,
11:10:48 AM,12,2,,
11:10:49 AM,12,2,,
11:10:50 AM,12,2,,
11:10:51 AM,12,2,,
11:10:52 AM,12,2,,
11:10:53 AM,12,2,,
11:10:54 AM,12,2,,
11:10:55 AM,12,2,,
11:10:56 AM,12,2,,
11:10:57 AM,12,2,,
11:10:58 AM,12,2,,
11:10:59 AM,12,2,,
11:11:00 AM,12,2,,
11:11:01 AM,12,2,,
11:11:02 AM,151,193,800,
11:11:03 AM,781,325,,400
11:11:04 AM,353,325,,
11:11:05 AM,353,325,,
11:11:06 AM,353,325,,
11:11:07 AM,353,325,,
11:11:08 AM,353,325,,
11:11:09 AM,353,325,,
11:11:10 AM,353,325,,
11:11:11 AM,353,325,,
11:11:12 AM,353,325,,
11:11:13 AM,353,325,,
11:11:14 AM,353,325,,
11:11:15 AM,353,325,,
11:11:16 AM,353,325,,
11:11:17 AM,353,325,,
11:11:18 AM,353,325,,
11:11:19 AM,353,325,,
11:11:20 AM,353,325,,
11:11:21 AM,353,325,,
11:11:22 AM,347,643,,
11:11:23 AM,505,163,,
11:11:24 AM,64,34,600,200
11:11:25 AM,64,8,,
11:11:26 AM,64,8,,
11:11:27 AM,64,8,,
11:11:28 AM,64,8,,
11:11:29 AM,64,8,,
11:11:30 AM,433,431,800,
11:11:31 AM,1361,777,,400
11:11:32 AM,1321,1621,,
11:11:33 AM,1321,1621,,
11:11:34 AM,1321,1581,,
