x,y1,y2,y3,y4,y5,y6
11:15:38,561,291,,,,
11:15:39,583,291,,,,
11:15:40,583,291,,,,
11:15:41,583,291,,,,
11:15:42,585,289,,,,
11:15:43,585,289,,,,
11:15:44,585,289,,,,
11:15:45,555,289,,,,
11:15:46,553,289,,,,
11:15:47,553,289,,,,
11:15:48,553,289,,,,
11:15:49,553,289,,,,
11:15:50,553,289,,,,
11:15:51,553,289,,,,
11:15:52,617,305,,,,
11:15:53,617,305,,,,
11:15:54,617,305,,,,
11:15:55,617,305,,,,
11:15:56,617,305,,,,
11:15:57,611,305,,,,
11:15:58,565,305,,,,
11:15:59,565,305,,,,
11:16:00,549,305,,,,
11:16:01,549,305,,,,
11:16:02,573,297,,,,
11:16:03,573,297,,,,
11:16:04,573,297,,,,
11:16:05,609,297,,,,
11:16:06,585,297,,,,
11:16:07,585,297,,,,
11:16:08,575,315,,,,
11:16:09,575,315,,,,
11:16:10,575,291,,,,
11:16:11,575,291,,,,
11:16:12,575,291,,,,
11:16:13,545,291,,,,
11:16:14,545,291,,,,
11:16:15,545,291,,,,
11:16:16,317,291,,,,
11:16:17,567,449,,,,
11:16:18,529,321,,,,
11:16:19,395,411,,,,
11:16:20,60,90,,,,200
11:16:21,141,225,800,600,,
11:16:22,223,431,,,,
11:16:23,1483,1213,,,,
11:16:24,1377,1213,,,400,
11:16:25,1445,1393,,,,
11:16:26,1425,1329,,,,
11:16:27,1425,1329,,,,
11:16:28,1425,1339,,,,
11:16:29,1425,1357,,,,
11:16:30,1425,1361,,,,
11:16:31,1425,1339,,,,
11:16:32,1425,1339,,,,
11:16:33,1425,1337,,,,
11:16:34,1353,1137,,,,
11:16:35,1353,1153,,,,
